"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"3645",32.1699981689453,"0","2",54.5499992370605,"0",1.1,5,4,4.5,2.5,4,3.66666666666667,2.16666666666667
"3646",24.0799999237061,"0","1",NA,"0",2.9,5,3.33333333333333,3.5,3,4.5,NA,NA
"3647",31.75,"0","1",NA,"1",2.6,2.5,3.33333333333333,3.5,4,5,NA,NA
"3648",25.9200000762939,"1","1",26.6000003814697,"0",3,5,4,4,2.5,3.5,3.8,2
"3649",33.5800018310547,"1","1",11.7399997711182,"0",2.4,3.5,3.33333333333333,3.5,2.5,2.5,3.44444444444444,2.33333333333333
"3650",31.5,"0","1",28.4799995422363,"0",2.4,3.5,3.66666666666667,4,3.5,4.5,2.88888888888889,2.41666666666667
"3651",23,"0","1",40.5400009155273,"0",2.1,4,4.33333333333333,4,3,2.5,NA,NA
"3652",33.0800018310547,"1","1",NA,"0",2.6,5,4.66666666666667,3,1.5,3,NA,NA
"3653",23.8299999237061,"1","1",NA,"0",2.9,4.5,4,3,1,2,NA,NA
"3654",33.1699981689453,"0","2",41.2700004577637,"0",2.3,2.5,4.33333333333333,5,3,4.5,NA,NA
"3655",23.3299999237061,"0","1",57.3800010681152,"0",2.7,NA,NA,NA,NA,NA,3.33333333333333,2.91666666666667
"3656",30.4200000762939,"0","2",80.75,"0",1,3.5,4.33333333333333,5,4.5,4.5,4,3.08333333333333
"3657",27.5,"0","2",55.25,"1",2.9,5,5,5,4,5,NA,NA
"3658",33.0800018310547,"1","2",79.3099975585938,"0",2.3,4.5,3.66666666666667,2.5,2.5,5,3.22222222222222,2.41666666666667
"3659",29.5,"0","1",17.7900009155273,"0",2,NA,NA,NA,NA,NA,3.44444444444444,3.16666666666667
"3660",30.5799999237061,"0","1",57.0299987792969,"0",3.2,4.5,3,3.5,2.5,2.5,NA,NA
"3661",32.5,"0","1",NA,"1",2.3,3,4,4.5,3,4,3.22222222222222,2.25
"3662",22.0799999237061,"1","1",31.7199993133545,"0",1.6,3.5,2.66666666666667,4,2.5,4.5,NA,NA
"3663",39.5,"0","2",NA,"0",2.7,4.5,3.33333333333333,3.5,3.5,5,3.33333333333333,2.58333333333333
"3664",26.6700000762939,"0","1",12.0100002288818,"1",1.6,4,4.33333333333333,5,3,5,3.11111111111111,2.16666666666667
"3665",21.9200000762939,"0","2",NA,"0",1.7,4,4,5,3,4.5,NA,NA
"3666",30.25,"0","2",NA,"0",1.7,3.5,3.66666666666667,3,2,3.5,3.66666666666667,2.83333333333333
"3667",30.5,"0","2",28.4799995422363,"0",2,4,4,4.5,2,4,2.77777777777778,1.16666666666667
"3668",31.6700000762939,"0","2",26.6200008392334,"0",2.7,4,3.33333333333333,4.5,3,3,3.44444444444444,1.75
"3669",29.5,"0","1",28.4799995422363,"0",1.9,5,4.66666666666667,4,3,5,4,2.25
"3670",29.5799999237061,"0","2",82.4100036621094,"0",1.9,5,4.33333333333333,3.5,3.5,5,2.66666666666667,2.75
